timestamp,driver_number,type,speed,fastest,personal_fastest
00:41:53.743,18,I1,152,False,False
00:41:56.044,22,I2,175,False,False
00:42:06.017,4,I2,127,False,False
00:42:09.481,22,ST,289,False,False
00:42:11.073,14,I2,189,False,False
00:42:11.845,30,I1,206,False,False
00:42:13.575,81,ST,79,False,False
00:42:19.311,6,I1,209,False,False
00:42:23.524,14,ST,299,False,False
00:42:26.874,4,ST,58,False,False
00:42:31.557,5,I1,181,False,False
00:42:35.149,18,I2,166,False,False
00:42:47.361,30,I2,184,False,False
00:42:47.945,63,I1,212,False,False
00:42:49.233,18,ST,231,False,False
00:42:54.282,22,I1,209,False,False
00:42:54.907,6,I2,179,False,False
00:43:00.213,81,I1,218,False,True
00:43:00.603,30,ST,296,False,False
00:43:07.396,14,I1,214,False,False
00:43:08.182,6,ST,300,False,False
00:43:15.758,5,I2,173,False,False
00:43:16.258,4,I1,219,False,True
00:43:23.144,63,I2,186,False,False
00:43:25.582,10,I1,175,False,False
00:43:29.063,5,ST,303,False,False
00:43:29.183,27,I1,208,False,False
00:43:29.637,87,I1,207,False,False
00:43:29.645,22,I2,180,False,False
00:43:33.862,18,I1,213,False,False
00:43:34.069,81,I2,188,False,False
00:43:36.007,63,ST,305,False,False
00:43:42.718,14,I2,188,False,False
00:43:42.733,22,ST,297,False,False
00:43:45.015,30,I1,213,False,False
00:43:46.687,81,ST,330,False,False
00:43:50.044,4,I2,190,False,True
00:43:54.665,6,I1,183,False,False
00:43:55.493,14,ST,300,False,False
00:44:02.622,4,ST,329,False,False
00:44:04.407,23,I1,198,False,False
00:44:04.688,10,I2,173,False,False
00:44:05.456,87,I2,183,False,False
00:44:08.961,18,I2,186,False,False
00:44:09.702,55,I1,195,False,False
00:44:12.942,27,I2,177,False,False
00:44:18.301,87,ST,315,False,False
00:44:18.786,10,ST,190,False,False
00:44:19.301,63,I1,215,False,False
00:44:20.255,30,I2,184,False,False
00:44:21.956,18,ST,290,False,False
00:44:27.536,22,I1,210,False,False
00:44:29.544,27,ST,165,False,False
00:44:30.232,6,I2,183,False,False
00:44:33.385,30,ST,299,False,False
00:44:33.483,16,I1,194,False,False
00:44:40.200,23,I2,185,False,False
00:44:43.485,6,ST,298,False,False
00:44:43.625,5,I1,207,False,False
00:44:44.485,81,I1,177,False,False
00:44:47.219,55,I2,172,False,False
00:44:52.372,23,ST,316,False,False
00:44:54.036,63,I2,185,False,False
00:45:00.124,55,ST,311,False,False
00:45:02.636,87,I1,214,False,False
00:45:02.912,22,I2,182,False,False
00:45:05.906,4,I1,144,False,False
00:45:06.027,18,I1,212,False,False
00:45:07.099,63,ST,307,False,False
00:45:10.960,10,I1,216,False,False
00:45:12.746,16,I2,174,False,False
00:45:14.860,14,I2,187,False,False
00:45:15.962,22,ST,295,False,False
00:45:17.799,30,I1,212,False,False
00:45:19.282,5,I2,187,False,False
00:45:21.882,27,I1,216,False,False
00:45:24.400,1,I1,212,False,False
00:45:25.120,81,I2,140,False,False
00:45:26.683,16,ST,303,False,False
00:45:27.600,14,ST,315,False,False
00:45:27.761,6,I1,210,False,False
00:45:32.117,5,ST,308,False,False
00:45:35.857,23,I1,217,False,False
00:45:37.398,87,I2,185,False,False
00:45:41.498,18,I2,185,False,False
00:45:42.776,81,ST,239,False,False
00:45:43.545,55,I1,216,False,False
00:45:44.933,10,I2,185,False,False
00:45:50.554,87,ST,305,False,False
00:45:50.976,63,I1,213,False,False
00:45:53.132,30,I2,184,False,False
00:45:54.382,18,ST,316,False,False
00:45:56.226,27,I2,188,False,False
00:45:57.533,10,ST,333,False,False
00:45:59.383,1,I2,183,False,False
00:46:03.536,6,I2,182,False,False
00:46:06.303,30,ST,299,False,False
00:46:06.360,4,I2,125,False,False
00:46:08.817,27,ST,334,False,True
00:46:10.297,16,I1,218,False,True
00:46:10.344,23,I2,187,False,False
00:46:12.998,1,ST,201,False,False
00:46:15.923,5,I1,213,False,False
00:46:16.574,6,ST,308,False,False
00:46:18.360,55,I2,186,False,False
00:46:20.807,14,I1,216,False,False
00:46:22.986,23,ST,317,False,False
00:46:24.246,4,ST,128,False,False
00:46:25.802,63,I2,186,False,False
00:46:31.072,55,ST,318,False,False
00:46:31.660,12,I1,212,False,False
00:46:34.474,87,I1,213,False,False
00:46:35.965,22,I2,179,False,False
00:46:37.760,18,I1,211,False,False
00:46:38.720,63,ST,314,False,False
00:46:43.182,16,I2,191,False,True
00:46:48.856,31,I1,170,False,False
00:46:49.083,22,ST,303,False,False
00:46:51.220,5,I2,188,False,False
00:46:52.460,7,I1,170,False,False
00:46:55.800,16,ST,332,False,True
00:46:57.108,10,I1,131,False,False
00:46:58.723,1,I1,207,False,False
00:47:00.314,14,I2,188,False,False
00:47:00.823,6,I1,211,False,False
00:47:04.083,5,ST,308,False,False
00:47:06.467,23,I1,216,False,False
00:47:06.960,12,I2,183,False,False
00:47:10.361,87,I2,184,False,False
00:47:10.373,27,I1,144,False,False
00:47:11.760,4,I1,219,False,False
00:47:12.867,18,I2,186,False,False
00:47:14.424,55,I1,214,False,False
00:47:15.750,14,ST,170,False,False
00:47:16.920,81,I1,155,False,False
00:47:19.828,12,ST,310,False,False
00:47:22.599,87,ST,305,False,False
00:47:25.714,18,ST,316,False,False
00:47:25.968,30,I2,184,False,False
00:47:32.751,31,I2,138,False,False
00:47:33.708,22,I1,211,False,False
00:47:33.760,1,I2,183,False,False
00:47:36.164,6,I2,184,False,False
00:47:38.860,30,ST,303,False,False
